Sample,Histone_Mark,Tool,Total_Peaks,ENCODE_Overlap,Recall_%,Precision_%
SRR31972743,H3K27ac,MACS2,24102,17929,35.04,74.39
SRR31972742,H3K27ac,GoPeaks,16906,13273,25.94,78.51
SRR31972742,H3K27ac,SEACR_Stringent,11335,10495,20.51,92.59
SRR31972743,H3K27ac,GoPeaks,16669,12409,24.26,74.44
SRR31972743,H3K27ac,SEACR_Stringent,14936,12459,24.35,83.42
SRR31972743,H3K27ac,SEACR_Relaxed,1526473,47248,92.35,3.10
SRR31972741,H3K27ac,GoPeaks,15491,12788,25.00,82.55
SRR31972741,H3K27ac,SEACR_Stringent,11720,10929,21.36,93.25
SRR31972742,H3K27ac,SEACR_Relaxed,979091,37400,73.10,3.82
SRR31972741,H3K27ac,SEACR_Relaxed,1085407,38661,75.57,3.56
SRR31972745,H3K27ac,MACS2,7059,6443,12.59,91.27
SRR31972745,H3K27ac,GoPeaks,9074,8498,16.61,93.65
SRR31972744,H3K27ac,MACS2,31520,21339,41.71,67.70
SRR31972744,H3K27ac,GoPeaks,18317,12908,25.23,70.47
SRR31972744,H3K27ac,SEACR_Stringent,16398,13524,26.43,82.47
SRR31972744,H3K27ac,SEACR_Relaxed,1487416,35770,69.92,2.40
SRR31972747,H3K27ac,MACS2,2294,1621,3.17,70.66
SRR31972747,H3K27ac,GoPeaks,4458,3965,7.75,88.94
SRR31972745,H3K27ac,SEACR_Stringent,5974,5678,11.10,95.05
SRR31972747,H3K27ac,SEACR_Stringent,5626,4762,9.31,84.64
SRR31972746,H3K27ac,MACS2,1564,1033,2.02,66.05
SRR31972746,H3K27ac,GoPeaks,5043,4302,8.41,85.31
SRR31972745,H3K27ac,SEACR_Relaxed,604584,60311,117.89,9.98
SRR31972747,H3K27ac,SEACR_Relaxed,582710,58648,114.64,10.06
SRR31972746,H3K27ac,SEACR_Stringent,9263,6057,11.84,65.39
SRR31972746,H3K27ac,SEACR_Relaxed,944486,65415,127.86,6.93
SRR31972751,H3K27ac,MACS2,5912,3604,7.04,60.96
SRR31972750,H3K27ac,MACS2,9260,7752,15.15,83.71
SRR31972751,H3K27ac,GoPeaks,18943,11130,21.76,58.76
SRR31972750,H3K27ac,GoPeaks,11879,9849,19.25,82.91
SRR31972751,H3K27ac,SEACR_Stringent,18402,11419,22.32,62.05
SRR31972750,H3K27ac,SEACR_Stringent,10012,8775,17.15,87.64
SRR31972749,H3K27ac,MACS2,1829,1288,2.52,70.42
SRR31972749,H3K27ac,GoPeaks,3664,3253,6.36,88.78
SRR31972749,H3K27ac,SEACR_Stringent,5305,4469,8.74,84.24
SRR31972751,H3K27ac,SEACR_Relaxed,1923516,62800,122.75,3.26
SRR31972749,H3K27ac,SEACR_Relaxed,542293,56809,111.04,10.48
SRR31972750,H3K27ac,SEACR_Relaxed,1047827,63659,124.43,6.08
SRR31972752,H3K27ac,MACS2,5031,4144,8.10,82.37
SRR31972753,H3K27ac,MACS2,32542,21592,42.20,66.35
SRR31972752,H3K27ac,GoPeaks,6080,5562,10.87,91.48
SRR31972752,H3K27ac,SEACR_Stringent,6513,5876,11.49,90.22
SRR31972753,H3K27ac,GoPeaks,18339,12836,25.09,69.99
SRR31972753,H3K27ac,SEACR_Stringent,16070,13201,25.80,82.15
SRR31972753,H3K27ac,SEACR_Relaxed,1483122,35747,69.87,2.41
SRR31972752,H3K27ac,SEACR_Relaxed,691221,63693,124.50,9.21
