Sample,Histone_Mark,Tool,State,Peak_Count,State_Bp,Overlap_Bp,Enrichment_Score
SRR31972727,H3K27ac,GoPeaks,4_Tx,1928,80021415,2857000,5.8665
SRR31972727,H3K27ac,GoPeaks,9_Het,1928,19735745,1203000,10.0158
SRR31972727,H3K27ac,GoPeaks,15_Quies,1928,1872511958,11648000,1.0221
SRR31972727,H3K27ac,GoPeaks,10_TssBiv,1928,309061,15000,7.9748
SRR31972727,H3K27ac,GoPeaks,5_TxWk,1928,332621608,11955000,5.9057
SRR31972727,H3K27ac,GoPeaks,7_Enh,1928,85193746,18078000,34.8671
SRR31972727,H3K27ac,GoPeaks,13_ReprPC,1928,22438620,245000,1.7941
SRR31972727,H3K27ac,GoPeaks,3_TxFlnk,1928,5328410,7657000,236.1206
SRR31972727,H3K27ac,GoPeaks,8_ZNF/Rpts,1928,4187737,1722000,67.5658
SRR31972727,H3K27ac,GoPeaks,14_ReprPCWk,1928,353341693,1207000,0.5613
SRR31972727,H3K27ac,GoPeaks,6_EnhG,1928,16260772,6524000,65.9243
SRR31972727,H3K27ac,GoPeaks,1_TssA,1928,23697787,13562000,94.0349
SRR31972727,H3K27ac,GoPeaks,12_EnhBiv,1928,1536844,186000,19.8864
SRR31972727,H3K27ac,GoPeaks,2_TssAFlnk,1928,22504393,21481000,156.8412
SRR31972717,H3K27me3,GoPeaks,11_BivFlnk,12638,302634,28559000,1210.0028
SRR31972717,H3K27me3,GoPeaks,4_Tx,12638,80021415,1170000,0.1875
SRR31972717,H3K27me3,GoPeaks,9_Het,12638,19735745,18621000,12.0979
SRR31972717,H3K27me3,GoPeaks,15_Quies,12638,1872511958,132588000,0.9079
SRR31972717,H3K27me3,GoPeaks,10_TssBiv,12638,309061,20314000,842.7764
SRR31972717,H3K27me3,GoPeaks,5_TxWk,12638,332621608,34797000,1.3414
SRR31972717,H3K27me3,GoPeaks,7_Enh,12638,85193746,143595000,21.6119
SRR31972717,H3K27me3,GoPeaks,13_ReprPC,12638,22438620,652215000,372.6969
SRR31972717,H3K27me3,GoPeaks,3_TxFlnk,12638,5328410,497000,1.1960
SRR31972717,H3K27me3,GoPeaks,8_ZNF/Rpts,12638,4187737,2388000,7.3117
SRR31972717,H3K27me3,GoPeaks,14_ReprPCWk,12638,353341693,890966000,32.3316
SRR31972717,H3K27me3,GoPeaks,6_EnhG,12638,16260772,701000,0.5528
SRR31972717,H3K27me3,GoPeaks,1_TssA,12638,23697787,30926000,16.7331
SRR31972717,H3K27me3,GoPeaks,12_EnhBiv,12638,1536844,150458000,1255.2973
SRR31972717,H3K27me3,GoPeaks,2_TssAFlnk,12638,22504393,53940000,30.7330
SRR31972726,H3K27me3,GoPeaks,11_BivFlnk,14377,302634,43060000,1345.1275
SRR31972726,H3K27me3,GoPeaks,4_Tx,14377,80021415,4020000,0.4749
SRR31972726,H3K27me3,GoPeaks,9_Het,14377,19735745,42497000,20.3569
SRR31972726,H3K27me3,GoPeaks,15_Quies,14377,1872511958,281702000,1.4222
SRR31972726,H3K27me3,GoPeaks,10_TssBiv,14377,309061,31354000,959.0823
SRR31972726,H3K27me3,GoPeaks,5_TxWk,14377,332621608,104171000,2.9608
SRR31972726,H3K27me3,GoPeaks,7_Enh,14377,85193746,341536000,37.8997
SRR31972726,H3K27me3,GoPeaks,13_ReprPC,14377,22438620,977765000,411.9509
SRR31972726,H3K27me3,GoPeaks,3_TxFlnk,14377,5328410,2744000,4.8685
SRR31972726,H3K27me3,GoPeaks,8_ZNF/Rpts,14377,4187737,4573000,10.3235
SRR31972726,H3K27me3,GoPeaks,14_ReprPCWk,14377,353341693,1417039000,37.9135
SRR31972726,H3K27me3,GoPeaks,6_EnhG,14377,16260772,2813000,1.6354
SRR31972726,H3K27me3,GoPeaks,1_TssA,14377,23697787,78411000,31.2807
SRR31972726,H3K27me3,GoPeaks,12_EnhBiv,14377,1536844,220920000,1358.9779
SRR31972726,H3K27me3,GoPeaks,2_TssAFlnk,14377,22504393,133784000,56.2010
SRR31972730,H3K27me3,GoPeaks,11_BivFlnk,14279,302634,40341000,1323.8053
SRR31972730,H3K27me3,GoPeaks,4_Tx,14279,80021415,4268000,0.5297
SRR31972730,H3K27me3,GoPeaks,9_Het,14279,19735745,33603000,16.9091
SRR31972730,H3K27me3,GoPeaks,15_Quies,14279,1872511958,241104000,1.2787
SRR31972730,H3K27me3,GoPeaks,10_TssBiv,14279,309061,28599000,918.9710
SRR31972730,H3K27me3,GoPeaks,5_TxWk,14279,332621608,76170000,2.2742
SRR31972730,H3K27me3,GoPeaks,7_Enh,14279,85193746,272815000,31.8021
SRR31972730,H3K27me3,GoPeaks,13_ReprPC,14279,22438620,923041000,408.5263
SRR31972730,H3K27me3,GoPeaks,3_TxFlnk,14279,5328410,1343000,2.5031
SRR31972730,H3K27me3,GoPeaks,8_ZNF/Rpts,14279,4187737,3995000,9.4740
SRR31972730,H3K27me3,GoPeaks,14_ReprPCWk,14279,353341693,1301626000,36.5836
SRR31972730,H3K27me3,GoPeaks,6_EnhG,14279,16260772,1611000,0.9839
SRR31972730,H3K27me3,GoPeaks,1_TssA,14279,23697787,59116000,24.7738
SRR31972730,H3K27me3,GoPeaks,12_EnhBiv,14279,1536844,215520000,1392.6853
SRR31972730,H3K27me3,GoPeaks,2_TssAFlnk,14279,22504393,104489000,46.1104
SRR31972735,H3K27me3,GoPeaks,11_BivFlnk,11823,302634,22697000,1165.5463
SRR31972735,H3K27me3,GoPeaks,4_Tx,11823,80021415,3146000,0.6110
SRR31972735,H3K27me3,GoPeaks,9_Het,11823,19735745,13062000,10.2857
SRR31972735,H3K27me3,GoPeaks,15_Quies,11823,1872511958,86309000,0.7163
SRR31972735,H3K27me3,GoPeaks,10_TssBiv,11823,309061,15953000,802.1895
SRR31972735,H3K27me3,GoPeaks,5_TxWk,11823,332621608,27212000,1.2714
SRR31972735,H3K27me3,GoPeaks,7_Enh,11823,85193746,99948000,18.2325
SRR31972735,H3K27me3,GoPeaks,13_ReprPC,11823,22438620,486874000,337.2091
SRR31972735,H3K27me3,GoPeaks,3_TxFlnk,11823,5328410,5453000,15.9044
