Sample,Histone_Mark,Tool,State,Peak_Count,State_Bp,Overlap_Bp,Enrichment_Score
SRR31972727,H3K27ac,MACS2,7_Enh,2109,85193746,44582,1.8530
SRR31972727,H3K27ac,MACS2,13_ReprPC,2109,22438620,1860,0.2935
SRR31972727,H3K27ac,MACS2,3_TxFlnk,2109,5328410,16949,11.2631
SRR31972727,H3K27ac,MACS2,8_ZNF/Rpts,2109,4187737,32470,27.4546
SRR31972727,H3K27ac,MACS2,14_ReprPCWk,2109,353341693,27948,0.2801
SRR31972727,H3K27ac,MACS2,6_EnhG,2109,16260772,5766,1.2556
SRR31972727,H3K27ac,MACS2,1_TssA,2109,23697787,270515,40.4200
SRR31972727,H3K27ac,MACS2,12_EnhBiv,2109,1536844,415,0.9562
SRR31972727,H3K27ac,MACS2,2_TssAFlnk,2109,22504393,124620,19.6080
SRR31972717,H3K27me3,MACS2,11_BivFlnk,10974,302634,171473,255.1294
SRR31972717,H3K27me3,MACS2,4_Tx,10974,80021415,17326,0.0975
SRR31972717,H3K27me3,MACS2,9_Het,10974,19735745,18374,0.4192
SRR31972717,H3K27me3,MACS2,15_Quies,10974,1872511958,888285,0.2136
SRR31972717,H3K27me3,MACS2,10_TssBiv,10974,309061,126133,183.7668
SRR31972717,H3K27me3,MACS2,5_TxWk,10974,332621608,26268,0.0356
SRR31972717,H3K27me3,MACS2,7_Enh,10974,85193746,17891,0.0946
SRR31972717,H3K27me3,MACS2,13_ReprPC,10974,22438620,3391648,68.0608
SRR31972717,H3K27me3,MACS2,3_TxFlnk,10974,5328410,0,0.0000
SRR31972717,H3K27me3,MACS2,8_ZNF/Rpts,10974,4187737,20181,2.1699
SRR31972717,H3K27me3,MACS2,14_ReprPCWk,10974,353341693,3237205,4.1253
SRR31972717,H3K27me3,MACS2,6_EnhG,10974,16260772,0,0.0000
SRR31972717,H3K27me3,MACS2,1_TssA,10974,23697787,12958,0.2462
SRR31972717,H3K27me3,MACS2,12_EnhBiv,10974,1536844,535667,156.9450
SRR31972717,H3K27me3,MACS2,2_TssAFlnk,10974,22504393,10369,0.2075
SRR31972726,H3K27me3,MACS2,11_BivFlnk,36952,302634,398618,199.3074
SRR31972726,H3K27me3,MACS2,4_Tx,36952,80021415,18476,0.0349
SRR31972726,H3K27me3,MACS2,9_Het,36952,19735745,40646,0.3116
SRR31972726,H3K27me3,MACS2,15_Quies,36952,1872511958,1870031,0.1511
SRR31972726,H3K27me3,MACS2,10_TssBiv,36952,309061,195882,95.9035
SRR31972726,H3K27me3,MACS2,5_TxWk,36952,332621608,77543,0.0353
SRR31972726,H3K27me3,MACS2,7_Enh,36952,85193746,255041,0.4530
SRR31972726,H3K27me3,MACS2,13_ReprPC,36952,22438620,7650913,51.5943
SRR31972726,H3K27me3,MACS2,3_TxFlnk,36952,5328410,0,0.0000
SRR31972726,H3K27me3,MACS2,8_ZNF/Rpts,36952,4187737,24567,0.8877
SRR31972726,H3K27me3,MACS2,14_ReprPCWk,36952,353341693,12770291,5.4688
SRR31972726,H3K27me3,MACS2,6_EnhG,36952,16260772,1539,0.0143
SRR31972726,H3K27me3,MACS2,1_TssA,36952,23697787,129653,0.8279
SRR31972726,H3K27me3,MACS2,12_EnhBiv,36952,1536844,1397378,137.5841
SRR31972726,H3K27me3,MACS2,2_TssAFlnk,36952,22504393,133627,0.8985
SRR31972730,H3K27me3,MACS2,11_BivFlnk,30786,302634,427990,208.0180
SRR31972730,H3K27me3,MACS2,4_Tx,30786,80021415,19079,0.0351
SRR31972730,H3K27me3,MACS2,9_Het,30786,19735745,25780,0.1921
SRR31972730,H3K27me3,MACS2,15_Quies,30786,1872511958,2125030,0.1669
SRR31972730,H3K27me3,MACS2,10_TssBiv,30786,309061,277221,131.9371
SRR31972730,H3K27me3,MACS2,5_TxWk,30786,332621608,73255,0.0324
SRR31972730,H3K27me3,MACS2,7_Enh,30786,85193746,187675,0.3240
SRR31972730,H3K27me3,MACS2,13_ReprPC,30786,22438620,8885219,58.2448
SRR31972730,H3K27me3,MACS2,3_TxFlnk,30786,5328410,0,0.0000
SRR31972730,H3K27me3,MACS2,8_ZNF/Rpts,30786,4187737,21320,0.7488
SRR31972730,H3K27me3,MACS2,14_ReprPCWk,30786,353341693,13299926,5.5366
SRR31972730,H3K27me3,MACS2,6_EnhG,30786,16260772,1491,0.0135
SRR31972730,H3K27me3,MACS2,1_TssA,30786,23697787,118740,0.7370
SRR31972730,H3K27me3,MACS2,12_EnhBiv,30786,1536844,1430166,136.8805
SRR31972730,H3K27me3,MACS2,2_TssAFlnk,30786,22504393,89969,0.5880
SRR31972735,H3K27me3,MACS2,11_BivFlnk,10838,302634,94403,152.1451
SRR31972735,H3K27me3,MACS2,4_Tx,10838,80021415,16569,0.1010
SRR31972735,H3K27me3,MACS2,9_Het,10838,19735745,21237,0.5248
SRR31972735,H3K27me3,MACS2,15_Quies,10838,1872511958,638717,0.1664
SRR31972735,H3K27me3,MACS2,10_TssBiv,10838,309061,79490,125.4464
SRR31972735,H3K27me3,MACS2,5_TxWk,10838,332621608,26188,0.0384
SRR31972735,H3K27me3,MACS2,7_Enh,10838,85193746,15157,0.0868
SRR31972735,H3K27me3,MACS2,13_ReprPC,10838,22438620,2953233,64.1936
SRR31972735,H3K27me3,MACS2,3_TxFlnk,10838,5328410,1076,0.0985
SRR31972735,H3K27me3,MACS2,8_ZNF/Rpts,10838,4187737,20011,2.3307
SRR31972735,H3K27me3,MACS2,14_ReprPCWk,10838,353341693,3129969,4.3205
SRR31972735,H3K27me3,MACS2,6_EnhG,10838,16260772,0,0.0000
SRR31972735,H3K27me3,MACS2,1_TssA,10838,23697787,31153,0.6412
SRR31972735,H3K27me3,MACS2,12_EnhBiv,10838,1536844,322270,102.2775
SRR31972735,H3K27me3,MACS2,2_TssAFlnk,10838,22504393,14367,0.3114
SRR31972738,H3K27me3,MACS2,11_BivFlnk,54067,302634,1623853,291.5749
SRR31972738,H3K27me3,MACS2,4_Tx,54067,80021415,24140,0.0164
SRR31972738,H3K27me3,MACS2,9_Het,54067,19735745,106769,0.2940
SRR31972738,H3K27me3,MACS2,15_Quies,54067,1872511958,4874656,0.1415
SRR31972738,H3K27me3,MACS2,10_TssBiv,54067,309061,1026929,180.5582
SRR31972738,H3K27me3,MACS2,5_TxWk,54067,332621608,422967,0.0691
SRR31972738,H3K27me3,MACS2,7_Enh,54067,85193746,1411781,0.9005
SRR31972738,H3K27me3,MACS2,13_ReprPC,54067,22438620,27586716,66.8075
SRR31972738,H3K27me3,MACS2,3_TxFlnk,54067,5328410,807,0.0082
SRR31972738,H3K27me3,MACS2,8_ZNF/Rpts,54067,4187737,20752,0.2693
SRR31972738,H3K27me3,MACS2,14_ReprPCWk,54067,353341693,52487737,8.0721
SRR31972738,H3K27me3,MACS2,6_EnhG,54067,16260772,8015,0.0268
SRR31972738,H3K27me3,MACS2,1_TssA,54067,23697787,894486,2.0511
SRR31972738,H3K27me3,MACS2,12_EnhBiv,54067,1536844,5820295,205.7957
SRR31972738,H3K27me3,MACS2,2_TssAFlnk,54067,22504393,858470,2.0729
SRR31972739,H3K27me3,MACS2,11_BivFlnk,50938,302634,1119896,232.7233
SRR31972739,H3K27me3,MACS2,4_Tx,50938,80021415,22682,0.0178
SRR31972739,H3K27me3,MACS2,9_Het,50938,19735745,77220,0.2461
SRR31972739,H3K27me3,MACS2,15_Quies,50938,1872511958,3997226,0.1342
SRR31972739,H3K27me3,MACS2,10_TssBiv,50938,309061,881110,179.2940
SRR31972739,H3K27me3,MACS2,5_TxWk,50938,332621608,321943,0.0609
SRR31972739,H3K27me3,MACS2,7_Enh,50938,85193746,1117841,0.8252
SRR31972739,H3K27me3,MACS2,13_ReprPC,50938,22438620,22317425,62.5501
SRR31972739,H3K27me3,MACS2,3_TxFlnk,50938,5328410,996,0.0118
SRR31972739,H3K27me3,MACS2,8_ZNF/Rpts,50938,4187737,19451,0.2921
SRR31972739,H3K27me3,MACS2,14_ReprPCWk,50938,353341693,42880369,7.6321
SRR31972739,H3K27me3,MACS2,6_EnhG,50938,16260772,2704,0.0105
SRR31972739,H3K27me3,MACS2,1_TssA,50938,23697787,752838,1.9979
SRR31972739,H3K27me3,MACS2,12_EnhBiv,50938,1536844,4204588,172.0575
SRR31972739,H3K27me3,MACS2,2_TssAFlnk,50938,22504393,626396,1.7505
SRR31972748,H3K27me3,MACS2,11_BivFlnk,4706,302634,73902,245.3633
SRR31972748,H3K27me3,MACS2,4_Tx,4706,80021415,16568,0.2080
SRR31972748,H3K27me3,MACS2,9_Het,4706,19735745,18809,0.9576
SRR31972748,H3K27me3,MACS2,15_Quies,4706,1872511958,751911,0.4035
SRR31972748,H3K27me3,MACS2,10_TssBiv,4706,309061,44809,145.6774
SRR31972748,H3K27me3,MACS2,5_TxWk,4706,332621608,26034,0.0786
SRR31972748,H3K27me3,MACS2,7_Enh,4706,85193746,7932,0.0936
SRR31972748,H3K27me3,MACS2,13_ReprPC,4706,22438620,1210101,54.1872
SRR31972748,H3K27me3,MACS2,3_TxFlnk,4706,5328410,0,0.0000
SRR31972748,H3K27me3,MACS2,8_ZNF/Rpts,4706,4187737,19165,4.5983
SRR31972748,H3K27me3,MACS2,14_ReprPCWk,4706,353341693,1013486,2.8820
SRR31972748,H3K27me3,MACS2,6_EnhG,4706,16260772,0,0.0000
SRR31972748,H3K27me3,MACS2,1_TssA,4706,23697787,9144,0.3877
SRR31972748,H3K27me3,MACS2,12_EnhBiv,4706,1536844,186832,122.1498
SRR31972748,H3K27me3,MACS2,2_TssAFlnk,4706,22504393,5640,0.2518
